PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Ocheje, Michael U.; Charron, Brynn P.; Cheng, Yu-Hsuan; Chuang, Ching-Heng; Soldera, Armand; Chiu, Yu-Cheng; Rondeau-Gagne, Simon								Amide-Containing Alkyl Chains in Conjugated Polymers: Effect on Self-Assembly and Electronic Properties								MACROMOLECULES				51	4			1336	1344		10.1021/acs.macromol.7b02393			FEB 27 2018	2018										17							WOS:000426618500011		
J	Zhang, Linlin; Wan, Fang; Wang, Xinyu; Cao, Hongmei; Dai, Xi; Niu, Zhiqiang; Wang, Yijing; Chen, Jun								Dual-Functional Graphene Carbon as Polysulfide Trapper for High Performance Lithium Sulfur Batteries								ACS APPLIED MATERIALS & INTERFACES				10	6			5594	5602		10.1021/acsami.7b18894			FEB 14 2018	2018										17							WOS:000425572700049		
J	Lefebvre, Jacques; Ding, Jianfu; Li, Zhao; Finnie, Paul; Lopinski, Gregory; Malenfant, Patrick R. L.								High-Purity Semiconducting Single-Walled Carbon Nanotubes: A Key Enabling Material in Emerging Electronics								ACCOUNTS OF CHEMICAL RESEARCH				50	10			2479	2486		10.1021/acs.accounts.7b00234			OCT 2017	2017										17							WOS:000413392000008		
J	Zhang, Ying; Wang, Chengwei; Pastel, Glenn; Kuang, Yudi; Xie, Hua; Li, Yiju; Liu, Boyang; Luo, Wei; Chen, Chaoji; Hu, Liangbing								3D Wettable Framework for Dendrite-Free Alkali Metal Anodes								ADVANCED ENERGY MATERIALS				8	18					1800635	10.1002/aenm.201800635			JUN 25 2018	2018										16							WOS:000436103300032		
J	Liu, Zitong; Zhang, Guanxin; Zhang, Deqing								Modification of Side Chains of Conjugated Molecules and Polymers for Charge Mobility Enhancement and Sensing Functionality								ACCOUNTS OF CHEMICAL RESEARCH				51	6			1422	1432		10.1021/acs.accounts.8b00069			JUN 2018	2018										16							WOS:000436027200012		
J	Shi, Xinlei; Liu, Shuiren; Sun, Yang; Liang, Jiajie; Chen, Yongsheng								Lowering Internal Friction of 0D-1D-2D Ternary Nanocomposite-Based Strain Sensor by Fullerene to Boost the Sensing Performance								ADVANCED FUNCTIONAL MATERIALS				28	22					UNSP 1800850	10.1002/adfm.201800850			MAY 30 2018	2018										16							WOS:000434030800017		
J	Herbert, Robert; Kim, Jong-Hoon; Kim, Yun Soung; Lee, Hye Moon; Yeo, Woon-Hong								Soft Material-Enabled, Flexible Hybrid Electronics for Medicine, Healthcare, and Human-Machine Interfaces								MATERIALS				11	2					187	10.3390/ma11020187			FEB 2018	2018										16							WOS:000427534800014		
J	Zhang, Hailin; Zhao, Hongbin; Khan, Muhammad Arif; Zou, Wenwen; Xu, Jiaqiang; Zhang, Lei; Zhang, Jiujun								Recent progress in advanced electrode materials, separators and electrolytes for lithium batteries								JOURNAL OF MATERIALS CHEMISTRY A				6	42			20564	20620		10.1039/c8ta05336g			NOV 14 2018	2018										15							WOS:000451600200002		
J	Campanella, Antonella; Doehler, Diana; Binder, Wolfgang H.								Self-Healing in Supramolecular Polymers								MACROMOLECULAR RAPID COMMUNICATIONS				39	17					1700739	10.1002/marc.201700739			SEP 2018	2018										15							WOS:000443690900001		
J	Kumar, Rudra; Liu, Jie; Hwang, Jang-Yeon; Sun, Yang-Kook								Recent research trends in Li-S batteries								JOURNAL OF MATERIALS CHEMISTRY A				6	25			11582	11605		10.1039/c8ta01483c			JUL 7 2018	2018										15							WOS:000436516700002		
J	Yan, Jianhua; Yu, Jianyong; Ding, Bin								Mixed Ionic and Electronic Conductor for Li-Metal Anode Protection								ADVANCED MATERIALS				30	7					1705105	10.1002/adma.201705105			FEB 15 2018	2018										15							WOS:000424891900019		
J	Yang, Yun; Yu, Dandan; Wang, Hua; Guo, Lin								Smart Electrochemical Energy Storage Devices with Self-Protection and Self-Adaptation Abilities								ADVANCED MATERIALS				29	45					UNSP 1703040	10.1002/adma.201703040			DEC 6 2017	2017										15							WOS:000416830800010		
J	Ocheje, Michael U.; Charron, Brynn P.; Nyayachavadi, Audithya; Rondeau-Gagne, Simon								Stretchable electronics: recent progress in the preparation of stretchable and self-healing semiconducting conjugated polymers								FLEXIBLE AND PRINTED ELECTRONICS				2	4					043002	10.1088/2058-8585/aa9c9b			DEC 1 2017	2017										14							WOS:000419284900003		
J	Wu, Feng; Yuan, Yan-Xia; Cheng, Xin-Bing; Bai, Ying; Li, Yu; Wu, Chuan; Zhang, Qiang								Perspectives for restraining harsh lithium dendrite growth: Towards robust lithium metal anodes								ENERGY STORAGE MATERIALS				15				148	170		10.1016/j.ensm.2018.03.024			NOV 2018	2018										13							WOS:000449521500019		
J	Chen, Shanshan; Jung, Sungwoo; Cho, Hye Jin; Kim, Na-Hyang; Jung, Seungon; Xu, Jianqiu; Oh, Jiyeon; Cho, Yongjoon; Kim, Hyeongwon; Lee, Byongkyu; An, Yujin; Zhang, Chunfeng; Xiao, Min; Ki, Hyungson; Zhang, Zhi-Guo; Kim, Ju-Young; Li, Yongfang; Park, Hyesung; Yang, Changduk								Highly Flexible and Efficient All-Polymer Solar Cells with High-Viscosity Processing Polymer Additive toward Potential of Stretchable Devices								ANGEWANDTE CHEMIE-INTERNATIONAL EDITION				57	40			13277	13282		10.1002/anie.201807513			OCT 1 2018	2018										13							WOS:000445445700051		
J	Yoo, Dong-Joo; Kim, Ki Jae; Choi, Jang Wook								The Synergistic Effect of Cation and Anion of an Ionic Liquid Additive for Lithium Metal Anodes								ADVANCED ENERGY MATERIALS				8	11					1702744	10.1002/aenm.201702744			APR 16 2018	2018										13							WOS:000430163100023		
J	Zhu, Ming; Wu, Jiaxin; Zhong, Wei-Hong; Lan, Jinle; Sui, Gang; Yang, Xiaoping								A Biobased Composite Gel Polymer Electrolyte with Functions of Lithium Dendrites Suppressing and Manganese Ions Trapping								ADVANCED ENERGY MATERIALS				8	11					1702561	10.1002/aenm.201702561			APR 16 2018	2018										13							WOS:000430163100012		
J	Freudenberg, Jan; Jaensch, Daniel; Hinkel, Felix; Bunz, Uwe H. F.								Immobilization Strategies for Organic Semiconducting Conjugated Polymers								CHEMICAL REVIEWS				118	11			5598	5689		10.1021/acs.chemrev.8b00063			JUN 13 2018	2018										12							WOS:000435525600008		
J	Liu, Kai; Liu, Yayuan; Lin, Dingchang; Pei, Allen; Cui, Yi								Materials for lithium-ion battery safety								SCIENCE ADVANCES				4	6					eaas9820	10.1126/sciadv.aas9820			JUN 2018	2018										12							WOS:000443175500052		
J	Li, Zhao; Ding, Jianfu; Guo, Chang; Lefebvre, Jacques; Malenfant, Patrick R. L.								Decomposable&IT s&IT-Tetrazine Copolymer Enables Single-Walled Carbon Nanotube Thin Film Transistors and Sensors with Improved Sensitivity								ADVANCED FUNCTIONAL MATERIALS				28	13					1705568	10.1002/adfm.201705568			MAR 28 2018	2018										12							WOS:000428792200006		
J	Cui, Jiecheng; Zhan, Tian-Guang; Zhang, Kang-Da; Chen, Dong								The recent advances in constructing designed electrode in lithium metal batteries								CHINESE CHEMICAL LETTERS				28	12			2171	2179		10.1016/j.cclet.2017.11.039			DEC 2017	2017										12							WOS:000423638500002		
J	Joo, Yongho; Brady, Gerald J.; Kanimozhi, Catherine; Ko, Jaehyoung; Shea, Matthew J.; Strand, Michael T.; Arnold, Michael S.; Gopalan, Padma								Polymer-Free Electronic-Grade Aligned Semiconducting Carbon Nanotube Array								ACS APPLIED MATERIALS & INTERFACES				9	34			28859	28867		10.1021/acsami.7b06850			AUG 30 2017	2017										12							WOS:000409395500080		
J	Wang, Gang; Melkonyan, Ferdinand S.; Facchetti, Antonio; Marks, Tobin J.								All-Polymer Solar Cells: Recent Progress, Challenges, and Prospects								ANGEWANDTE CHEMIE-INTERNATIONAL EDITION				58	13			4129	4142		10.1002/anie.201808976			MAR 22 2019	2019										11							WOS:000462655400006		
J	Yan, Cheng; Deng, Weili; Jin, Long; Yang, Tao; Wang, Zixing; Chu, Xiang; Su, Hai; Chen, Jun; Yang, Weiqing								Epidermis-Inspired Ultrathin 3D Cellular Sensor Array for Self-Powered Biomedical Monitoring								ACS APPLIED MATERIALS & INTERFACES				10	48			41070	41075		10.1021/acsami.8b14514			DEC 5 2018	2018										11							WOS:000452694100014		
J	Bai, Songyan; Sun, Yang; Yi, Jin; He, Yibo; Qiao, Yu; Zhou, Haoshen								High-Power Li-Metal Anode Enabled by Metal-Organic Framework Modified Electrolyte								JOULE				2	10			2117	2132		10.1016/j.joule.2018.07.010			OCT 17 2018	2018										11							WOS:000447735000017		
J	Liu, Yang; Qiao, Yun; Zhang, Ying; Yang, Zhi; Gao, Tingting; Kirsch, Dylan; Liu, Boyang; Song, Jianwei; Yang, Bao; Hu, Liangbing								3D printed separator for the thermal management of high-performance Li metal anodes								ENERGY STORAGE MATERIALS				12				197	203		10.1016/j.ensm.2017.12.019			MAY 2018	2018										11							WOS:000428083400025		
J	Schroeder, Vera; Savagatrup, Suchol; He, Maggie; Ling, Sibo; Swager, Timothy M.								Carbon Nanotube Chemical Sensors								CHEMICAL REVIEWS				119	1			599	663		10.1021/acs.chemrev.8b00340			JAN 9 2019	2019										10							WOS:000455690300011		
J	Deng, Weili; Yang, Tao; Jin, Long; Yan, Cheng; Huang, Haichao; Chu, Xiang; Wang, Zixing; Xiong, Da; Tian, Guo; Gao, Yuyu; Zhang, Haitao; Yang, Weiqing								Cowpea-structured PVDF/ZnO nanofibers based flexible self-powered piezoelectric bending motion sensor towards remote control of gestures								NANO ENERGY				55				516	525		10.1016/j.nanoen.2018.10.049			JAN 2019	2019										10							WOS:000454636200050		
