PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Nadj-Perge, Stevan; Drozdov, Ilya K.; Li, Jian; Chen, Hua; Jeon, Sangjun; Seo, Jungpil; MacDonald, Allan H.; Bernevig, B. Andrei; Yazdani, Ali								Observation of Majorana fermions in ferromagnetic atomic chains on a superconductor								SCIENCE				346	6209			602	607		10.1126/science.1259327			OCT 31 2014	2014										812							WOS:000343799700041		
J	Hsieh, D.; Xia, Y.; Wray, L.; Qian, D.; Pal, A.; Dil, J. H.; Osterwalder, J.; Meier, F.; Bihlmayer, G.; Kane, C. L.; Hor, Y. S.; Cava, R. J.; Hasan, M. Z.								Observation of Unconventional Quantum Spin Textures in Topological Insulators								SCIENCE				323	5916			919	922		10.1126/science.1167733			FEB 13 2009	2009										801							WOS:000263295400038		
J	Ross, Jason S.; Klement, Philip; Jones, Aaron M.; Ghimire, Nirmal J.; Yan, Jiaqiang; Mandrus, D. G.; Taniguchi, Takashi; Watanabe, Kenji; Kitamura, Kenji; Yao, Wang; Cobden, David H.; Xu, Xiaodong								Electrically tunable excitonic light-emitting diodes based on monolayer WSe2 p-n junctions								NATURE NANOTECHNOLOGY				9	4			268	272		10.1038/NNANO.2014.26			APR 2014	2014										798							WOS:000334068800011		
J	Evers, Ferdinand; Mirlin, Alexander D.								Anderson transitions								REVIEWS OF MODERN PHYSICS				80	4			1355	1417		10.1103/RevModPhys.80.1355			OCT-DEC 2008	2008										792							WOS:000262253500008		
J	Carusotto, Iacopo; Ciuti, Cristiano								Quantum fluids of light								REVIEWS OF MODERN PHYSICS				85	1						10.1103/RevModPhys.85.299			FEB 21 2013	2013										783							WOS:000315489200001		
J	Marzari, Nicola; Mostofi, Arash A.; Yates, Jonathan R.; Souza, Ivo; Vanderbilt, David								Maximally localized Wannier functions: Theory and applications								REVIEWS OF MODERN PHYSICS				84	4						10.1103/RevModPhys.84.1419			OCT 10 2012	2012										782							WOS:000309659400001		
J	Hosten, Onur; Kwiat, Paul								Observation of the spin Hall effect of light via weak measurements								SCIENCE				319	5864			787	790		10.1126/science.1152697			FEB 8 2008	2008										781							WOS:000252963000054		
J	Alicea, Jason; Oreg, Yuval; Refael, Gil; von Oppen, Felix; Fisher, Matthew P. A.								Non-Abelian statistics and topological quantum information processing in 1D wire networks								NATURE PHYSICS				7	5			412	417		10.1038/NPHYS1915			MAY 2011	2011										772							WOS:000290150300017		
J	Huang, Shin-Ming; Xu, Su-Yang; Belopolski, Ilya; Lee, Chi-Cheng; Chang, Guoqing; Wang, BaoKai; Alidoust, Nasser; Bian, Guang; Neupane, Madhab; Zhang, Chenglong; Jia, Shuang; Bansil, Arun; Lin, Hsin; Hasan, M. Zahid								A Weyl Fermion semimetal with surface Fermi arcs in the transition metal monopnictide TaAs class								NATURE COMMUNICATIONS				6						7373	10.1038/ncomms8373			JUN 2015	2015										760							WOS:000357175300006		
J	Tokura, Y; Tomioka, Y								Colossal magnetoresistive manganites								JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS				200	1-3			1	23		10.1016/S0304-8853(99)00352-2			OCT 1999	1999										760							WOS:000082867700002		
J	Castelnovo, C.; Moessner, R.; Sondhi, S. L.								Magnetic monopoles in spin ice								NATURE				451	7174			42	45		10.1038/nature06433			JAN 3 2008	2008										758							WOS:000252079300028		
