PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Miyake, Hirokazu; Siviloglou, Georgios A.; Kennedy, Colin J.; Burton, William Cody; Ketterle, Wolfgang								Realizing the Harper Hamiltonian with Laser-Assisted Tunneling in Optical Lattices								PHYSICAL REVIEW LETTERS				111	18					185302	10.1103/PhysRevLett.111.185302			OCT 28 2013	2013										588							WOS:000326164800011		
J	Flach, Sergej; Gorbach, Andrey V.								Discrete breathers - Advances in theory and applications								PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS				467	1-3			1	116		10.1016/j.physrep.2008.05.002			OCT 2008	2008										582							WOS:000260161600001		
J	Jones, Kevin M.; Tiesinga, Eite; Lett, Paul D.; Julienne, Paul S.								Ultracold photoassociation spectroscopy: Long-range molecules and atomic scattering								REVIEWS OF MODERN PHYSICS				78	2			483	535		10.1103/RevModPhys.78.483			APR-JUN 2006	2006										571							WOS:000238699500005		
J	Fetter, Alexander L.								Rotating trapped Bose-Einstein condensates								REVIEWS OF MODERN PHYSICS				81	2			647	691		10.1103/RevModPhys.81.647			APR-JUN 2009	2009										568							WOS:000267197500006		
J	Petrov, DS; Shlyapnikov, GV; Walraven, JTM								Regimes of quantum degeneracy in trapped 1D gases								PHYSICAL REVIEW LETTERS				85	18			3745	3749		10.1103/PhysRevLett.85.3745			OCT 30 2000	2000										564							WOS:000090146300001		
J	Blatt, R.; Roos, C. F.								Quantum simulations with trapped ions								NATURE PHYSICS				8	4			277	284		10.1038/NPHYS2252			APR 2012	2012										558							WOS:000302557600012		
J	Chiorescu, I; Bertet, P; Semba, K; Nakamura, Y; Harmans, CJPM; Mooij, JE								Coherent dynamics of a flux qubit coupled to a harmonic oscillator								NATURE				431	7005			159	162		10.1038/nature02831			SEP 9 2004	2004										556							WOS:000223746000037		
J	Diehl, S.; Micheli, A.; Kantian, A.; Kraus, B.; Buechler, H. P.; Zoller, P.								Quantum states and phases in driven open quantum systems with cold atoms								NATURE PHYSICS				4	11			878	883		10.1038/nphys1073			NOV 2008	2008										550							WOS:000262289800020		
J	Jaksch, D; Zoller, P								Creation of effective magnetic fields in optical lattices: the Hofstadter butterfly for cold neutral atoms								NEW JOURNAL OF PHYSICS				5						PII S1367-2630(03)61912-9	10.1088/1367-2630/5/1/356			MAY 30 2003	2003										547							WOS:000183231300007		
J	Folman, R; Kruger, P; Schmiedmayer, J; Denschlag, J; Henkel, C								Microscopic atom optics: From wires to an atom chip								Advances In Atomic Molecular and Optical Physics				48				263	356					2002	2002										546							WOS:000180931300007		
J	Cazalilla, M. A.; Citro, R.; Giamarchi, T.; Orignac, E.; Rigol, M.								One dimensional bosons: From condensed matter systems to ultracold gases								REVIEWS OF MODERN PHYSICS				83	4			1405	1466		10.1103/RevModPhys.83.1405			DEC 1 2011	2011										545							WOS:000297553400001		
J	Hafezi, M.; Mittal, S.; Fan, J.; Migdall, A.; Taylor, J. M.								Imaging topological edge states in silicon photonics								NATURE PHOTONICS				7	12			1001	1005		10.1038/NPHOTON.2013.274			DEC 2013	2013										540							WOS:000327738400020		
J	Deng, Hui; Haug, Hartmut; Yamamoto, Yoshihisa								Exciton-polariton Bose-Einstein condensation								REVIEWS OF MODERN PHYSICS				82	2			1489	1537		10.1103/RevModPhys.82.1489			MAY 12 2010	2010										525							WOS:000278228800001		
J	Chen, Bi-Chang; Legant, Wesley R.; Wang, Kai; Shao, Lin; Milkie, Daniel E.; Davidson, Michael W.; Janetopoulos, Chris; Wu, Xufeng S.; Hammer, John A., III; Liu, Zhe; English, Brian P.; Mimori-Kiyosue, Yuko; Romero, Daniel P.; Ritter, Alex T.; Lippincott-Schwartz, Jennifer; Fritz-Laylin, Lillian; Mullins, R. Dyche; Mitchell, Diana M.; Bembenek, Joshua N.; Reymann, Anne-Cecile; Boehme, Ralph; Grill, Stephan W.; Wang, Jennifer T.; Seydoux, Geraldine; Tulu, U. Serdar; Kiehart, Daniel P.; Betzig, Eric								Lattice light-sheet microscopy: Imaging molecules to embryos at high spatiotemporal resolution								SCIENCE				346	6208			439	+	UNSP 1257998	10.1126/science.1257998			OCT 24 2014	2014										524							WOS:000349773700002		
J	Tarruell, Leticia; Greif, Daniel; Uehlinger, Thomas; Jotzu, Gregor; Esslinger, Tilman								Creating, moving and merging Dirac points with a Fermi gas in a tunable honeycomb lattice								NATURE				483	7389			302	+		10.1038/nature10871			MAR 15 2012	2012										522							WOS:000301481800042		
J	Simon, Jonathan; Bakr, Waseem S.; Ma, Ruichao; Tai, M. Eric; Preiss, Philipp M.; Greiner, Markus								Quantum simulation of antiferromagnetic spin chains in an optical lattice								NATURE				472	7343			307	U200		10.1038/nature09994			APR 21 2011	2011										522							WOS:000289724600031		
J	Ospelkaus, S.; Ni, K. -K.; Wang, D.; de Miranda, M. H. G.; Neyenhuis, B.; Quemener, G.; Julienne, P. S.; Bohn, J. L.; Jin, D. S.; Ye, J.								Quantum-State Controlled Chemical Reactions of Ultracold Potassium-Rubidium Molecules								SCIENCE				327	5967			853	857		10.1126/science.1184121			FEB 12 2010	2010										513							WOS:000274408300058		
J	Fowler, Austin G.; Mariantoni, Matteo; Martinis, John M.; Cleland, Andrew N.								Surface codes: Towards practical large-scale quantum computation								PHYSICAL REVIEW A				86	3					032324	10.1103/PhysRevA.86.032324			SEP 18 2012	2012										504							WOS:000308863900004		
J	Gross, C.; Zibold, T.; Nicklas, E.; Esteve, J.; Oberthaler, M. K.								Nonlinear atom interferometer surpasses classical precision limit								NATURE				464	7292			1165	1169		10.1038/nature08919			APR 22 2010	2010										503							WOS:000276891100031		
J	Urban, E.; Johnson, T. A.; Henage, T.; Isenhower, L.; Yavuz, D. D.; Walker, T. G.; Saffman, M.								Observation of Rydberg blockade between two atoms								NATURE PHYSICS				5	2			110	114		10.1038/NPHYS1178			FEB 2009	2009										499							WOS:000263458500013		
J	Bakr, W. S.; Peng, A.; Tai, M. E.; Ma, R.; Simon, J.; Gillen, J. I.; Foelling, S.; Pollet, L.; Greiner, M.								Probing the Superfluid-to-Mott Insulator Transition at the Single-Atom Level								SCIENCE				329	5991			547	550		10.1126/science.1192368			JUL 30 2010	2010										495							WOS:000280483500031		
J	Hofferberth, S.; Lesanovsky, I.; Fischer, B.; Schumm, T.; Schmiedmayer, J.								Non-equilibrium coherence dynamics in one-dimensional Bose gases								NATURE				449	7160			324	+		10.1038/nature06149			SEP 20 2007	2007										493							WOS:000249557300041		
J	Kartashov, Yaroslav V.; Malomed, Boris A.; Torner, Lluis								Solitons in nonlinear lattices								REVIEWS OF MODERN PHYSICS				83	1			247	305		10.1103/RevModPhys.83.247			APR 14 2011	2011										478							WOS:000290101400001		
J	Colombe, Yves; Steinmetz, Tilo; Dubois, Guilhem; Linke, Felix; Hunger, David; Reichel, Jakob								Strong atom-field coupling for Bose-Einstein condensates in an optical cavity on a chip								NATURE				450	7167			272	U9		10.1038/nature06331			NOV 8 2007	2007										476							WOS:000250746200055		
J	Kohl, M; Moritz, H; Stoferle, T; Gunter, K; Esslinger, T								Fermionic atoms in a three dimensional optical lattice: Observing Fermi surfaces, dynamics, and interactions								PHYSICAL REVIEW LETTERS				94	8					080403	10.1103/PhysRevLett.94.080403			MAR 4 2005	2005										474							WOS:000227386000003		
